input,loops,sequential,pthread,spin
1k.txt,1,5,2563,47948
1k.txt,2,7,2532,74578
1k.txt,5,12,2428,17859
1k.txt,10,23,2513,896
1k.txt,20,44,2275,943
1k.txt,50,143,2315,903
1k.txt,100,297,2417,966
1k.txt,200,641,2491,1723
1k.txt,500,1701,3822,37534
1k.txt,1000,3420,5208,28902
1k.txt,2000,6701,7341,3596
1k.txt,5000,16577,9457,8338
8k.txt,1,62,2877,11098
8k.txt,2,73,2778,3777
8k.txt,5,115,3252,1356
8k.txt,10,213,2775,2146
8k.txt,20,372,3055,1082
8k.txt,50,1164,3946,8961
8k.txt,100,2552,6449,33063
8k.txt,200,5236,6894,11594
8k.txt,500,13388,8138,7044
8k.txt,1000,27264,20037,12696
8k.txt,2000,53707,27825,31784
8k.txt,5000,135385,67353,70094
16k.txt,1,125,2896,1097
16k.txt,2,148,3000,868
16k.txt,5,236,3107,970
16k.txt,10,439,3536,9860
16k.txt,20,785,3343,32061
16k.txt,50,2450,6730,1785
16k.txt,100,5084,6943,25851
16k.txt,200,10461,8234,5508
16k.txt,500,26540,16954,76075
16k.txt,1000,54195,52861,24228
16k.txt,2000,109599,66002,62355
16k.txt,5000,274844,125542,110031
